,Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
0,1283294138,GBB9093,NY,PAS,08/04/2013,46,SUBN,AUDI,P,37250,13610,21190,20140831,33.0,33,33,921043,0033,0,0752A,,,F,712,W 175 ST,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,GY,0.0,2013.0,-,0.0,,,,,,,,,,,,,
1,1283294151,62416MB,NY,COM,08/04/2013,46,VAN,FORD,P,37290,40404,40404,20140430,33.0,33,33,921043,0033,0,1240P,,NY,O,201,W 177 ST,,0.0,408.0,C,,BBBBBBB,ALL,ALL,WH,0.0,2012.0,-,0.0,,,,,,,,,,,,,
2,1283294163,78755JZ,NY,COM,08/05/2013,46,P-U,CHEVR,P,37030,31190,13610,20140228,33.0,33,33,921043,0033,0,1243P,,NY,O,520,W 163 ST,,0.0,408.0,F7,,BBBBBBB,ALL,ALL,,0.0,0.0,-,0.0,,,,,,,,,,,,,
3,1283294175,63009MA,NY,COM,08/05/2013,46,VAN,FORD,P,37270,11710,12010,20141031,33.0,33,33,921043,0033,0,0232P,,NY,O,517,W 176 ST,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,WH,0.0,2010.0,-,0.0,,,,,,,,,,,,,
4,1283294187,91648MC,NY,COM,08/08/2013,41,TRLR,GMC,P,37240,12010,31190,0,33.0,33,33,921043,0033,0,1239P,,NY,F,590,W 174 ST,,0.0,408.0,E1,,BBBBBBB,ALL,ALL,BR,0.0,2012.0,-,0.0,,,,,,,,,,,,,
5,1283294217,T60DAR,NJ,PAS,08/11/2013,14,P-U,DODGE,P,37250,10495,12010,0,33.0,33,33,921043,0033,0,0617P,,NY,F,525,W 175 ST,,0.0,408.0,F1,,BBBBBBB,ALL,ALL,RD,0.0,0.0,-,0.0,,,,,,,,,,,,,
6,1283294229,GCR2838,NY,PAS,08/11/2013,14,VAN,,P,37250,12010,31190,20141223,33.0,33,33,921043,0033,0,0741P,,NY,F,551,W 175 ST,,0.0,408.0,C,,BBBBBBB,ALL,ALL,GN,0.0,2011.0,-,0.0,,,,,,,,,,,,,
7,1283983620,XZ764G,NJ,PAS,08/07/2013,24,DELV,FORD,X,63430,0,0,0,88.0,88,976,101079,0976,0,0425A,,K,F,100,N.PORTLAND AVE,BROOKLYN NY 11206,0.0,408.0,E5,,BBBBBBB,ALL,ALL,WHITE,0.0,0.0,-,0.0,,,,,,,,,,,,,
8,1283983631,GBH9379,NY,PAS,08/07/2013,24,SDN,TOYOT,X,63430,0,0,20140722,88.0,88,976,101079,0976,0,0437A,,K,F,100,N.PORTLAND AVE,BROOKLYN NY 11206,0.0,408.0,D5,,BBBBBBB,ALL,ALL,WHITE,0.0,2001.0,-,0.0,,,,,,,,,,,,,
9,1283983667,MCL78B,NJ,PAS,07/18/2013,24,SDN,SUBAR,H,0,0,0,0,79.0,79,976,101043,0976,0,0839A,,K,F,,"760 BROADWAY ,BROOKL",WOODHULL HOSPITAL,0.0,408.0,D,,BBBBBBB,ALL,ALL,BLACK,0.0,2005.0,-,0.0,,,,,,,,,,,,,
